City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
197,Touho,NC,77.83,scattered clouds,-20.7833,165.2333,Auberge Timay Evasion
198,Mbandaka,CD,75.69,overcast clouds,0.0487,18.2603,Guest House Epervier
199,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
200,Aventura,US,82.02,few clouds,25.9565,-80.1392,Residence Inn by Marriott Miami Aventura Mall
201,Villa Maria,AR,81.25,clear sky,-32.4075,-63.2402,Hotel Milenium
202,Villa Juarez,MX,82.65,clear sky,24.6536,-107.5411,Casa de la Abuela
203,Contamana,PE,79.57,moderate rain,-7.3333,-75.0167,Shiringal Touristic Park
205,San Rafael,AR,82.99,light rain,-34.6177,-68.3301,Hotel San Rafael
206,Kalawit,PH,76.91,overcast clouds,8.0667,122.5167,Ompoy Pension House
207,Sabha,LY,78.8,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
208,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
209,Piacabucu,BR,79.77,few clouds,-10.4056,-36.4344,Piaçabuçu News
