City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
494,Batticaloa,LK,78.4,overcast clouds,7.7102,81.6924,Grand Star Guest House
498,Tawau,MY,75.33,heavy intensity rain,4.2498,117.8871,Shervinton Executive Boutique Hotel
499,Poso,ID,76.55,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
500,Rodeo,US,82.26,clear sky,38.033,-122.2669,Captain's Cottage
502,Xuddur,SO,77.09,broken clouds,4.1213,43.8894,Banjanay Hotel
504,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
508,Moron,AR,75.94,clear sky,-34.6534,-58.6198,Hotel Morón
515,Chihuahua,MX,81.43,broken clouds,28.5,-106.0,
520,Umm Lajj,SA,78.13,broken clouds,25.0213,37.2685,Moon light Furnished Units
523,Cairns,AU,79.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
525,Lompoc,US,75.85,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
527,Tessalit,ML,83.26,clear sky,20.1986,1.0114,
535,Sorong,ID,79.14,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
538,Safford,US,86.11,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
542,The Hammocks,US,82.02,broken clouds,25.6715,-80.4445,Cozy Home Recovery
545,Kerrville,US,85.95,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
546,Santa Cruz,BO,87.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
547,San Juan Del Sur,NI,87.15,overcast clouds,11.2529,-85.8705,Nuestra Casa
549,Dubti,ET,86.18,clear sky,11.7361,41.0853,degu Shiferaw
550,Businga,CD,76.26,overcast clouds,3.3333,20.8833,
560,Vallenar,CL,76.82,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
561,Luanda,AO,78.55,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
566,Laguna,US,77.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
571,Koungou,YT,78.51,light rain,-12.7336,45.2042,Villa Netibor
579,Ovalle,CL,75.79,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
580,Humaita,BR,77.04,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
581,Alta Floresta,BR,77.97,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
583,Soyo,AO,78.84,overcast clouds,-6.1349,12.3689,Hotel Mpampa
585,Shwebo,MM,81.95,broken clouds,22.5667,95.7,MOON SHINE Guest House
587,Abadiania,BR,77.92,scattered clouds,-16.2042,-48.7069,Pousada Lírio D'Água
589,Anloga,GH,81.81,moderate rain,5.7947,0.8973,Pin Drop Hotel
590,Pasni,PK,82.99,overcast clouds,25.2631,63.471,Kashmiri Hotal
591,Micheweni,TZ,82.6,few clouds,-4.9667,39.8333,
596,Guaymas,MX,87.89,clear sky,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
597,Houston,US,87.19,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
602,Sola,VU,84.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
603,El Jicaro,GT,80.13,overcast clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
608,Mayumba,GA,76.35,broken clouds,-3.432,10.6554,LIKWALE LODGE
609,Rudbar,AF,82.13,scattered clouds,30.15,62.6,
612,Urbano Santos,BR,75.74,moderate rain,-3.2078,-43.4036,Pousada Santa Dulce
613,Galveston,US,85.08,clear sky,29.3669,-94.9669,Crystal Suites
614,Morgan City,US,75.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
616,Touho,NC,77.83,scattered clouds,-20.7833,165.2333,Auberge Timay Evasion
618,Mbandaka,CD,75.69,overcast clouds,0.0487,18.2603,Guest House Epervier
622,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
624,Aventura,US,82.02,few clouds,25.9565,-80.1392,Residence Inn by Marriott Miami Aventura Mall
626,Villa Maria,AR,81.25,clear sky,-32.4075,-63.2402,Hotel Milenium
630,Villa Juarez,MX,82.65,clear sky,24.6536,-107.5411,Casa de la Abuela
632,Contamana,PE,79.57,moderate rain,-7.3333,-75.0167,Shiringal Touristic Park
633,Poum,NC,79.54,broken clouds,-20.2333,164.0167,
634,San Rafael,AR,82.99,light rain,-34.6177,-68.3301,Hotel San Rafael
640,Kalawit,PH,76.91,overcast clouds,8.0667,122.5167,Ompoy Pension House
641,Sabha,LY,78.8,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
650,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
655,Piacabucu,BR,79.77,few clouds,-10.4056,-36.4344,Piaçabuçu News
